"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,enrollment,,text,"Unique Subject Code",,"LU### or JU###",,,,,,,,,,,
enr_hospital_id,enrollment,,text,"Hospital ID",,,,,,y,,y,,,,,
enr_pepid,enrollment,,text,PEPID,,,,,,y,,y,,,,,
enr_otherid,enrollment,,text,"Other ID",,,,,,y,,,,,,,
enr_site,enrollment,,radio,Site,"1, JUTH | 2, LUTH",,,,,,,y,RH,,,," @DEFAULT='1'"
enr_enroll_d,enrollment,,text,"Date of Enrollment",,,date_ymd,2018-01-01,,,,y,,,,,
enr_hiv_serology_y,enrollment,Serology,radio,"Is the patient HIV positive","1, Yes | 0, NO","This question is repeated in every visit form",,,,,,y,RH,,,,
enr_text_hiv,enrollment,,descriptive,"If the patient has an HIV diagnosis, please make sure that the HIV diagnosis questions are filled (once and updated as needed)",,,,,,,"[enr_hiv_serology_y] = '1'",,,,,,
enr_hcc_serology_y,enrollment,,radio,"Does the patient have HCC","1, Yes | 0, No","This question is repeated in every visit form",,,,y,,y,RH,,,,
enr_text_hcc,enrollment,,descriptive,"If the patient has an HCC diagnosis, please make sure that the HCC diagnosis questions are filled (once and updated as needed)",,,,,,,"[enr_hcc_serology_y] = '1'",,,,,,
enr_dob_d,enrollment,Demographics,text,"Date of Birth",,"If exact DOB is unknown, just enter the year and January 1st. (yyyy-mm-dd)",date_ymd,,,,,y,,,,,
enr_age,enrollment,,calc,"Age in years at enrollment (calculated)","rounddown(datediff([enr_dob_d],[enr_enroll_d],""y""),0)","This field is calculated no need to enter",,,,,,,,,,,
enr_gender,enrollment,,radio,Sex,"1, Female | 2, Male",,,,,,,y,RH,,,,
enr_phone,enrollment,,text,"Patient Phone Number",,,,,,,,,,,,,
enr_relphone,enrollment,,text,"Relative Phone Number",,,,,,,,,,,,,
enr_rel2patient,enrollment,,text,"Relationship to Patient",,,,,,,,,,,,,
enr_marital,enrollment,,radio,"Marital Status","1, single | 2, married | 3, divorced | 4, widowed | 5, separated",,,,,,,,,,,,
