"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,patient_information,,text,"Record ID",,,,,,,,,,,,,
subject_id,patient_information,,text,"Subject Code",,,,,,,,,,,,,
coll_site,patient_information,,radio,"Site of Sample Collection","1, JUTH | 2, LUTH",,,,,,,y,,,,,
enr_visit_type,patient_information,,radio,"Type of Visit","1, Enrollment - Baseline | 2, Aim_3 - 1st Annual Visit | 3, Aim_3 - 2nd Annual Visit | 4, Aim_3 - 3rd Annual Visit | 5, Aim_3 - 4th Annual Visit",,,,,,,y,,,,,
enr_hospital_id,patient_information,,text,"Hospital ID",,,,,,,,y,,,,,
enr_pepid,patient_information,,text,PEPID,,,,,,,,,,,,,
enr_gender,patient_information,,radio,Sex,"1, Female | 2, Male",,,,,,,,,,,," @DEFAULT='1' @READONLY"
irb_number,patient_information,,text,"The IRB number for this project",,,,,,,,,,,,,
enr_dob_d,patient_information,,text,"Date of Birth",,"If exact DOB is unknown, just enter the year and January 1st. (yyyy-mm-dd)",date_ymd,,,,,,,,,,
age,patient_information,,calc,"Age at the time of sample collection","rounddown(datediff([enr_dob_d],[coll_date],""y""),0)","This field is calculated no need to enter",,,,,,,,,,,
exclude_sample,patient_information,,yesno,"Exclude this sample record",,,,,,,,,,,,,
exclude_sample_reason,patient_information,,text,"If Yes, Please describe in detail",,,,,,,"[exclude_sample] = '1'",,RH,,,,
vol_edta_ccf,visit_sample_collection,"Blood Samples",text,"Volume of Blood Collected - EDTA (CCF DNA)",,ml,number,,30,,,,,,,," @DEFAULT ='0'"
vol_lb_ccf_1,visit_sample_collection,,text,"Volume of Blood Collected -LBguard tube 2(CCF DNA)",,ml,number,,,,,,,,,," @DEFAULT ='0'"
vol_lb_ccf_2,visit_sample_collection,,text,"Volume of Blood Collected - LBguard tube 2 (CCF DNA)",,ml,number,,,,,,,,,," @DEFAULT ='0'"
vol_edta_ser_ld,visit_sample_collection,,text,"Volume of Blood Collected - EDTA (Serology and Viral Load)",,ml,number,,,,,,,,,," @DEFAULT ='0'"
vol_edta_bl_ct,visit_sample_collection,,text,"Volume of Blood Collected - EDTA (Blood Count)",,ml,number,,,,,,,,,," @DEFAULT ='0'"
vol_edta_haem,visit_sample_collection,,text,"Volume of Blood Collected - EDTA (HAEM)",,ml,number,,4,,,,,,,," @DEFAULT ='0'"
vol_plain_chem,visit_sample_collection,,text,"Volume of Blood Collected - Plain(CHEM)",,ml,number,,6,,,,,,,," @DEFAULT ='0'"
vol_plain_nacitr,visit_sample_collection,,text,"Volume of Blood Collected - NaCitr(PT/INR)",,ml,number,,4,,,,,,,," @DEFAULT ='0'"
vol_sample,visit_sample_collection,,calc,"Total Volume of sample Collected","sum([vol_edta_ccf],[vol_lb_ccf_1],[vol_lb_ccf_2],[vol_edta_ser_ld],[vol_edta_bl_ct],[vol_edta_haem],[vol_plain_chem],[vol_plain_nacitr])",ml,,,,,,,,,,,
coll_date,visit_sample_collection,,text,"Date of Sample Collection",,,date_ymd,,,,,y,,,,,
coll_time,visit_sample_collection,,text,"Time of sample collection",,"(hh:mm in 24 hour format)",time,,,,,y,,,,,
coll_personnel,visit_sample_collection,,dropdown,"Collected by","1, Ayuba | 2, Flavia | 3, Musa Abdullahi | 4, Yakubu | 5, Gei | 6, Other",,,,,,,,,,,,
